bleaching,tau,mean_5mer,pm95_5mer,mean_10mer,pm95_10mer
none,10,15.04506003554141,33.04947362104217,20.288666781315108,24.48276560760594
none,auto,4.822292170702752,2.4555338891417287,7.402801524168525,2.5077252552102633
none,NA,5.067436661228233,1.3730089482555947,9.440633038284043,1.3674134863074348
exponential0.5,10,380.8926792772671,2302.4949504502656,682.3463953370584,1414.0309542869618
exponential0.5,auto,5.71451669294741,2.534287210240863,9.933112953843573,1.4701897055607511
exponential0.5,NA,5.003992092604663,1.3359431630705676,9.330932010578488,0.6594232759475056
exponential0.75,10,24.277508791349902,58.95302121170597,30.41245142650868,36.74862973449283
exponential0.75,auto,4.415944006526948,1.62084704026266,8.61920879899917,0.7018710095517954
exponential0.75,NA,5.029807338243012,1.492740902401289,9.21435749207024,1.1435182799131145
exponential0.9,10,17.284426127685393,38.85552710715837,22.50430731701543,26.76526627632578
exponential0.9,auto,4.530434970528039,1.588108026101206,8.113438592463028,1.909069718976732
exponential0.9,NA,5.040968150086822,1.449903556340346,9.340097907788582,1.315219560632724
exponential0.95,10,15.96840589083239,35.41269282067086,21.165583191230414,25.297492467341378
exponential0.95,auto,3.736342826293801,1.5105770106030316,7.93230851196784,2.087234105498047
exponential0.95,NA,5.043017982999673,1.414964028354955,9.388920516566255,1.3492180922527985
exponential0.99,10,15.194216545635227,33.32299423948952,20.39264444994246,24.47131275277691
exponential0.99,auto,3.642793679585067,1.6228609152835962,7.4324392774462895,3.2090756014849866
exponential0.99,NA,5.062714096926125,1.3814508323656047,9.428918631720052,1.3638159079858474
linear0.5,10,73.33121694438896,189.0218969655644,83.08167121176756,97.35208018746458
linear0.5,auto,5.001549084848387,1.5553866502443026,8.389649238000143,0.6209279546357375
linear0.5,NA,5.000941066717786,1.3114472128811556,9.322186805460829,0.6608304413872824
linear0.75,10,22.796559552875017,53.85227937538889,28.3374931921074,33.4770681406899
linear0.75,auto,4.587436007244563,0.9228219990525094,8.29029451587125,0.5482611455579577
linear0.75,NA,5.0256505665576725,1.4895781983559224,9.207787107330326,1.1541043791299437
linear0.9,10,17.360924462613085,38.80739671051177,22.606620009840796,26.757277886044253
linear0.9,auto,4.89042503714933,1.2298575304534938,8.501638496998472,0.7355485493557995
linear0.9,NA,5.040227328137405,1.4449469975767604,9.340202700345312,1.3111746451831408
linear0.95,10,16.178914732541585,36.30483575920641,21.548639035834306,26.087021807398052
linear0.95,auto,3.7679528997045075,1.4244302822608834,7.399694275943545,1.501030832986371
linear0.95,NA,5.0437717140575975,1.4156833956714538,9.391074424039944,1.349381916686755
linear0.99,10,15.18412557597081,33.33900778292223,20.385092188407025,24.48500704220806
linear0.99,auto,3.462125975443012,1.925203324845166,7.153436157502974,3.509279080927399
linear0.99,NA,5.0621388451870954,1.3820159425642546,9.429833148287578,1.3640751002547058
power0.5,10,107.89302534783275,377.80345670659176,180.70996679213073,19.84884213967615
power0.5,auto,4.1828604500046,5.105606632888745,5.640129411021879,1.4103294437499851
power0.5,NA,5.0205336875199045,1.7296729564357785,9.193441892275047,1.0669685278553565
power0.75,10,99.3484064053048,534.2868358403364,187.44436641592515,393.2861088503648
power0.75,auto,4.943095198222975,2.580738019793625,7.622645504650506,1.5177894265886889
power0.75,NA,5.034960024507486,1.5779818764072104,9.273228579809187,1.291775161617658
power0.9,10,19.448379052893404,51.4213628607804,27.0781304929047,37.23514417389192
power0.9,auto,5.462623213415797,2.047292494144008,9.471371185682488,1.2733278259739889
power0.9,NA,5.047609634204142,1.4628593034764432,9.379872402519506,1.3612126363710357
power0.95,10,16.994991960970438,40.917672990505665,23.270346884177485,30.06954026747177
power0.95,auto,2.794487109320889,1.2648078914296383,6.458463037042277,5.245583522759006
power0.95,NA,5.054591658203363,1.414056519911998,9.412456974233747,1.3630791885610118
power0.99,10,15.347518741998469,34.213485746816346,20.726604461017413,25.28594751188092
power0.99,auto,3.071763624443259,1.5743005596429926,7.908878207858525,2.920194763986156
power0.99,NA,5.065078573878158,1.3812623683180596,9.43452471291414,1.3674484455841913
